#NAME,RA,DEC,SBF,NED_D,VIRGO,VHel,D,M_K,A_B,T-type,log_RE,DA
NGC2644,130.382904,4.980223,0,0,0,1939,28.0,-21.89,0.16,4.6,1.25,122.724509333
NGC2681,133.386414,51.313709,1,1,0,692,16.7,-23.68,0.10,0.4,1.55,205.607589437
NGC2683,133.172272,33.421799,1,3,0,411,7.5,-23.06,0.14,3.0,1.75,455.678602115
NGC2690,133.158508,-2.603258,0,0,0,1607,23.1,-22.19,0.10,2.0,1.20,148.727346515
NGC2701,134.773834,53.771755,0,0,0,2326,36.3,-23.13,0.08,5.3,1.50,94.6798216753
NGC2710,134.951416,55.706440,0,0,0,2526,39.1,-22.52,0.10,3.0,1.31,87.9027498056
NGC2712,134.876907,44.914001,0,0,0,1815,29.0,-23.22,0.09,3.1,1.48,118.496040653
NGC2722,134.692398,-3.710102,0,0,0,2760,38.6,-22.52,0.07,4.2,1.22,89.0408805397
NGC2726,136.236908,59.932968,0,0,0,1518,25.7,-22.28,0.16,1.0,1.25,133.697019356
NGC2731,135.534973,8.301766,0,0,0,2583,37.0,-22.38,0.29,5.5,1.16,92.8894619387
NGC2735,135.660980,25.934587,0,0,0,2450,36.5,-23.01,0.17,3.0,0.99,94.1612882849
NGC2750,136.449554,25.437365,0,0,0,2674,39.4,-23.32,0.15,5.3,1.57,87.2337279065
NGC2753,136.784286,25.342352,0,0,0,2783,40.9,-21.90,0.15,0.0,1.13,84.0357455264
NGC2775,137.583801,7.037924,0,0,0,1354,20.5,-24.53,0.19,1.7,1.64,167.562141943
NGC2841,140.511063,50.976479,0,6,0,638,14.5,-24.75,0.07,3.0,1.90,236.711173742
NGC2844,140.450104,40.151218,0,0,0,1486,24.6,-22.06,0.08,0.6,1.08,139.668905342
NGC2893,142.570618,29.539986,0,0,0,1699,26.9,-21.85,0.10,0.4,0.97,127.738456252
NGC2903,143.042130,21.500830,0,5,0,556,8.9,-23.72,0.13,4.0,1.93,384.650401214
NGC2916,143.739868,21.705259,0,1,0,3730,40.6,-23.93,0.12,3.1,1.44,84.656449223
NGC2966,145.547852,4.673152,0,0,0,2044,30.0,-22.72,0.20,4.2,1.38,114.54914598
NGC3021,147.737976,33.553467,0,2,0,1541,31.5,-23.32,0.06,4.0,1.31,109.098177867
NGC3041,148.279770,16.677694,0,0,0,1408,22.5,-23.04,0.15,5.4,1.83,152.688262789
NGC3044,148.420349,1.579650,0,0,0,1289,19.5,-22.48,0.11,5.7,1.58,176.140406785
NGC3049,148.706879,9.271640,0,0,0,1455,22.7,-21.83,0.17,2.5,1.52,151.344737006
NGC3055,148.825195,4.270082,0,0,0,1805,27.0,-22.68,0.22,5.3,1.47,127.2657838
NGC3094,150.357986,15.769937,0,0,0,2404,35.6,-23.15,0.12,1.0,1.08,96.5405343628
NGC3169,153.562912,3.466120,0,0,0,1238,19.1,-24.13,0.13,1.2,1.61,179.822554817
