NGC2273A,100.0294,60.08066,False,0,False,2100,33.2,-22.24,0.35,5.9,1.57
NGC2644,130.3829,4.980223,False,0,False,1939,28,-21.89,0.16,4.6,1.25
NGC2681,133.3864,51.31371,True,1,False,692,16.7,-23.68,0.1,0.4,1.55
NGC2683,133.1723,33.4218,True,3,False,411,7.5,-23.06,0.14,3,1.75
NGC2690,133.1585,-2.603258,False,0,False,1607,23.1,-22.19,0.1,2,1.2
NGC2701,134.7738,53.77176,False,0,False,2326,36.3,-23.13,0.08,5.3,1.5
NGC2710,134.9514,55.70644,False,0,False,2526,39.1,-22.52,0.1,3,1.31
NGC2712,134.8769,44.914,False,0,False,1815,29,-23.22,0.09,3.1,1.48
NGC2722,134.6924,-3.710102,False,0,False,2760,38.6,-22.52,0.07,4.2,1.22
NGC2726,136.2369,59.93297,False,0,False,1518,25.7,-22.28,0.16,1,1.25
NGC2731,135.535,8.301766,False,0,False,2583,37,-22.38,0.29,5.5,1.16
NGC2735,135.661,25.93459,False,0,False,2450,36.5,-23.01,0.17,3,0.99
NGC2750,136.4496,25.43736,False,0,False,2674,39.4,-23.32,0.15,5.3,1.57
NGC2753,136.7843,25.34235,False,0,False,2783,40.9,-21.9,0.15,0,1.13
NGC2775,137.5838,7.037924,False,0,False,1354,20.5,-24.53,0.19,1.7,1.64
NGC2841,140.5111,50.97648,False,6,False,638,14.5,-24.75,0.07,3,1.9
NGC2844,140.4501,40.15122,False,0,False,1486,24.6,-22.06,0.08,0.6,1.08
NGC2893,142.5706,29.53999,False,0,False,1699,26.9,-21.85,0.1,0.4,0.97
NGC2903,143.0421,21.50083,False,5,False,556,8.9,-23.72,0.13,4,1.93
NGC2916,143.7399,21.70526,False,1,False,3730,40.6,-23.93,0.12,3.1,1.44
NGC2966,145.5479,4.673152,False,0,False,2044,30,-22.72,0.2,4.2,1.38
NGC3021,147.738,33.55347,False,2,False,1541,31.5,-23.32,0.06,4,1.31
NGC3041,148.2798,16.67769,False,0,False,1408,22.5,-23.04,0.15,5.4,1.83
NGC3044,148.4203,1.57965,False,0,False,1289,19.5,-22.48,0.11,5.7,1.58
NGC3049,148.7069,9.27164,False,0,False,1455,22.7,-21.83,0.17,2.5,1.52
NGC3055,148.8252,4.270082,False,0,False,1805,27,-22.68,0.22,5.3,1.47
NGC3094,150.358,15.76994,False,0,False,2404,35.6,-23.15,0.12,1,1.08
NGC3169,153.5629,3.46612,False,0,False,1238,19.1,-24.13,0.13,1.2,1.61
NGC3184,154.5708,41.42438,False,2,False,592,11.3,-23.05,0.07,6,2.09
NGC3198,154.9791,45.54969,False,19,False,663,14.5,-23.03,0.05,5.2,1.89
NGC3246,156.674,3.862108,False,0,False,2154,31.8,-21.8,0.16,7.9,1.45
NGC3254,157.333,29.49144,False,1,False,1355,37.8,-24.09,0.09,4,1.62
NGC3277,158.2311,28.51173,False,0,False,1408,23.9,-22.98,0.12,1.9,1.33
NGC3279,158.6783,11.19724,False,0,False,1394,22.9,-22.39,0.16,6.5,1.23
NGC3294,159.0678,37.32459,False,1,False,1586,29.5,-23.97,0.08,5.1,1.61
NGC3310,159.6911,53.5033,False,2,False,993,20.2,-22.92,0.1,4,1.2
NGC3320,159.9022,47.39796,False,0,False,2331,36.5,-22.72,0.09,5.8,1.31
NGC3344,160.8798,24.92222,False,0,False,586,6.8,-21.72,0.14,4,1.96
NGC3359,161.6535,63.22364,False,1,False,1014,13,-21.95,0.04,5.2,1.88
NGC3370,161.7668,17.2737,False,13,False,1279,27.7,-22.8,0.13,5.1,1.38
NGC3380,162.0506,28.60177,False,0,False,1606,26.7,-22.22,0.11,1,1.3
NGC3423,162.8098,5.840101,False,0,False,1011,13.9,-22.18,0.13,6,1.8
NGC3437,163.1489,22.93412,False,1,False,1283,31.9,-23.65,0.08,5.3,1.32
NGC3445,163.6478,56.99068,False,0,False,2069,33.4,-22.01,0.03,8.9,1.49
NGC3448,163.6635,54.30523,False,0,False,1350,23.8,-22.42,0.05,0.2,1.44
NGC3471,164.7876,61.53045,False,0,False,2109,34.1,-23.08,0.05,1,1.26
NGC3485,165.01,14.84155,False,0,False,1436,24.6,-22.5,0.09,3.1,1.59
NGC3486,165.0998,28.97482,False,0,False,681,8.6,-21.69,0.09,5.2,1.76
