name	objID	ra	dec	run	rerun	camcol	field	type	modelMag_u	modelMag_g	modelMag_r	modelMag_i	modelMag_z
IC0750	1237662195061686301	179.71750641	42.72247814	3893	301	4	149	GALAXY	14.7149	12.615637	11.601659	11.066869	10.615747
IC0777	1237667444044791815	184.84901211	28.30994854	5115	301	5	91	GALAXY	15.732403	14.407442	13.781623	13.481161	13.227858
IC0800	1237664291003629607	188.48607647	15.35481668	4381	301	4	117	GALAXY	14.727053	13.626922	13.160679	12.901865	12.814385
IC0851	1237667733976973323	197.1428305	21.04997872	5183	301	1	425	GALAXY	15.266644	14.19091	13.71517	13.450387	13.336017
IC0902	1237662300821192718	204.00499805	49.96091768	3918	301	1	87	GALAXY	15.558496	14.134527	13.414827	13.014344	12.721577
IC1151	1237665549973913977	239.63477695	17.44145969	4674	301	5	239	GALAXY	14.8114	13.500237	12.949745	12.660703	12.492602
IC1158	1237651736857149485	240.39197295	1.70781768	1458	301	4	772	GALAXY	14.912758	13.467974	12.724216	12.408087	12.273611
IC1447	1237680189902028844	337.49922095	-5.11981009	8083	301	2	166	GALAXY	15.312521	14.564881	13.633441	13.15263	13.294806
IC1596	1237679541357314161	13.67850304	21.5225991	7932	301	2	95	GALAXY	15.822926	14.47866	13.861905	13.52601	13.342233
IC1711	1237679169305706514	22.730449	17.18819965	7845	301	5	94	GALAXY	16.309696	14.375321	13.269123	12.599239	12.109189
IC2327	1237658298445791341	125.36647889	3.16924219	2986	301	2	45	GALAXY	15.112769	13.957831	13.461966	13.218166	13.044
IC2461	1237660343397515472	139.99176131	37.19126564	3462	301	3	204	GALAXY	15.946709	14.170798	13.296155	12.819667	12.356854
IC4582	1237662663215349960	236.41440414	28.08875311	4002	301	4	183	GALAXY	16.038994	14.411796	13.577055	13.107376	12.633833
IC5334	1237679078586318863	353.65181925	-4.53423471	7824	301	4	274	GALAXY	15.224161	13.472244	12.690439	12.269052	11.953891
NGC0063	1237678918059098115	4.43976565	11.45028483	7787	301	1	231	GALAXY	13.721603	12.466151	11.807607	11.503604	11.150323
NGC0428	1237663278472626194	18.23171046	0.98136156	4145	301	6	232	GALAXY	13.363337	12.168418	11.677737	11.452374	11.356064
NGC0473	1237679168230850586	19.97939142	16.54479491	7845	301	3	77	GALAXY	14.452386	12.946225	12.20503	11.804681	11.459161
NGC0493	1237663785280143437	20.53702708	0.94551424	4263	301	6	253	GALAXY	24.634668	25.114388	24.802038	21.593662	22.826914
NGC0514	1237678920750465101	21.01626926	12.91747217	7787	301	6	338	GALAXY	14.267571	13.022619	12.357167	12.073277	11.947044
NGC0573	1237666214081855505	22.70555601	41.25721343	4829	301	2	218	GALAXY	18.752888	17.230293	16.704996	16.408548	16.144625
NGC0660	1237653651309002968	25.76002026	13.64517615	1904	301	2	317	GALAXY	21.116434	18.411503	16.686954	16.033266	15.406818
NGC0678	1237679543510302865	27.35348794	21.99735876	7932	301	6	179	GALAXY	15.863054	13.166096	12.030458	11.439016	10.976777
NGC0693	1237667227683651633	27.6287309	6.14529428	5065	301	2	58	GALAXY	20.134161	19.830799	18.957975	18.261301	18.567717
NGC0718	1237678661436375050	28.30536788	4.19579215	7727	301	3	255	GALAXY	14.181969	12.357751	11.611567	11.264053	11.005378
NGC0779	1237679440422961166	29.92774885	-5.96429535	7908	301	6	55	GALAXY	13.633186	11.911411	11.100746	10.686595	10.357171
NGC0803	1237679168772309026	30.93635333	16.0310698	7845	301	4	147	GALAXY	15.095977	13.447915	12.644613	12.295329	12.013256
NGC0864	1237670015120113700	33.86513965	6.00248642	5714	301	2	99	GALAXY	14.592968	12.957413	12.218061	11.846317	11.541917
NGC0895	1237679321787727971	35.40199594	-5.52124349	7881	301	1	257	GALAXY	14.777582	13.21784	12.51584	12.19146	11.938884
NGC0955	1237663782603259936	37.63812033	-1.10843295	4263	301	1	367	GALAXY	14.436634	12.652271	11.837569	11.386669	11.088145
NGC1012	1237670961625956377	39.81184322	30.15128119	5934	301	5	136	GALAXY	14.384353	13.153357	12.318547	12.136086	11.931206
NGC1015	1237678881574813707	39.54815263	-1.31876401	7778	301	5	581	GALAXY	14.779057	13.030324	12.26776	11.864097	11.603299
NGC1032	1237678437016469514	39.8485648	1.09357281	7675	301	1	135	GALAXY	14.220248	12.921835	11.376153	10.860819	10.480999
NGC1068	1237666407923318886	40.66978767	-0.01319998	4874	301	3	692	GALAXY	12.61847	11.120382	10.616212	11.124999	10.74164
NGC1090	1237663783678771206	41.64140036	-0.24718991	4263	301	3	394	GALAXY	14.77151	13.007246	12.205102	11.813197	11.592088
NGC1924	1237653746855116994	82.00827819	-5.31064971	1926	301	4	59	GALAXY	14.604222	13.259723	12.48023	12.045617	11.640146
NGC2644	1237658300058632376	130.38269345	4.98093847	2986	301	5	79	GALAXY	14.924833	13.717585	13.184178	12.877262	12.641044
NGC2681	1237654383587360777	133.38622377	51.31381457	2074	301	6	110	GALAXY	13.706445	12.01816	11.349114	11.130864	10.774903
NGC2683	1237660634912456752	133.17242559	33.42173363	3530	301	2	113	GALAXY	12.835491	11.11675	9.952479	9.440468	9.076922
NGC2690	1237673708255314246	133.15840102	-2.60318627	6574	301	1	102	GALAXY	16.218422	14.338344	13.436609	12.962332	12.630415
NGC2701	1237651250950307852	134.77386367	53.77169998	1345	301	3	182	GALAXY	14.778903	13.379716	12.632894	12.306388	11.980164
NGC2710	1237651252561510458	134.9514593	55.70638475	1345	301	6	191	GALAXY	15.129901	13.597342	13.032374	12.704749	12.509411
NGC2712	1237657770704437350	134.87695739	44.91389919	2863	301	3	87	GALAXY	14.306109	12.803214	12.028691	11.626943	11.372074
NGC2726	1237663529726574598	136.23653237	59.93303117	4204	301	2	207	GALAXY	14.965385	13.535524	12.751947	12.322956	12.022712
NGC2731	1237660670346330140	135.53499976	8.30166674	3538	301	4	119	GALAXY	14.919766	13.722851	13.179299	12.930952	12.724822
NGC2735	1237664878336344077	135.66110464	25.93459904	4518	301	2	55	GALAXY	15.697479	13.9954	13.094825	12.601648	12.159569
NGC2750	1237665129062137986	136.44966739	25.43749513	4576	301	5	163	GALAXY	15.057654	14.008416	13.437353	13.271444	13.048003
NGC2753	1237665098461085790	136.78440552	25.34245575	4569	301	4	172	GALAXY	15.137192	14.16759	13.623523	13.363779	13.100578
NGC2841	1237654652569976914	140.51114815	50.97665888	2137	301	3	267	GALAXY	12.672489	10.762424	9.879772	9.423346	9.099245
NGC2844	1237658204497313948	140.45002297	40.15126486	2964	301	3	105	GALAXY	15.065861	13.47192	12.690503	12.265847	11.942817
NGC2893	1237664836470112268	142.57065456	29.53996864	4508	301	4	203	GALAXY	14.812377	13.467422	12.831906	12.546004	12.364378
NGC2916	1237667430632063050	143.74000078	21.70526029	5112	301	4	229	GALAXY	15.271878	13.382439	12.716789	12.303782	11.960006
NGC2966	1237658297917767692	145.54783395	4.67316155	2986	301	1	180	GALAXY	15.365048	13.880258	12.965873	12.587087	12.246379
NGC3021	1237664668432334910	147.73811924	33.55362289	4469	301	3	246	GALAXY	14.699564	12.886168	12.203373	11.847893	11.573788
NGC3041	1237668289617592430	148.27977562	16.67767193	5312	301	4	108	GALAXY	14.515525	13.152925	12.424486	12.066708	11.758612
NGC3044	1237653664184402010	148.41978826	1.57996563	1907	301	2	172	GALAXY	13.902646	12.844166	12.243423	12.014665	11.740103
NGC3049	1237661063879000073	148.70649367	9.27108044	3630	301	1	215	GALAXY	14.41434	13.403768	12.776822	12.693651	12.479907
NGC3055	1237654605857685577	148.82525709	4.27001756	2126	301	4	198	GALAXY	13.896404	12.953871	12.340581	12.128705	11.852548
NGC3094	1237668288007766126	150.35806487	15.77006333	5312	301	1	120	GALAXY	15.145966	13.519991	12.647395	12.178696	11.838851
NGC3198	1237658612513374224	154.98218312	45.55119256	3059	301	3	16	GALAXY	13.453513	11.841319	11.202846	10.636565	10.370014
NGC3246	1237654604787351782	156.67420577	3.86192653	2126	301	2	250	GALAXY	15.135269	13.588216	13.16604	13.153686	12.712092
NGC3254	1237667288886411287	157.33308743	29.49182429	5079	301	4	50	GALAXY	14.722519	12.789298	11.929737	11.550401	11.192785
NGC3277	1237667255616208959	158.23101708	28.5117444	5071	301	6	291	GALAXY	14.112941	12.273871	11.495572	11.125807	10.891947
NGC3279	1237661949706436622	158.67830869	11.19736664	3836	301	3	69	GALAXY	15.708244	13.778398	12.890352	12.405322	11.977905
NGC3294	1237664668973531242	159.06769929	37.32468592	4469	301	4	312	GALAXY	13.518142	12.108662	11.379512	10.982334	10.78688
