IC4336,207.680878,39.706844,0,0,0,2530,39.6,-22.37,0.08,3.0,1.36,86.7933411944
NGC0485,20.364977,7.018058,0,0,0,2247,32.0,-21.72,0.26,0.0,1.28,107.394636495
NGC0488,20.445200,5.256720,0,0,0,2272,32.2,-25.58,0.13,2.9,1.80,106.72801894
NGC0489,20.474596,9.206488,0,0,0,2507,35.7,-23.22,0.18,0.0,1.03,96.2702542537
NGC0518,21.073431,9.330955,0,0,0,2725,38.6,-23.17,0.34,1.0,1.25,89.0408805397
NGC0520,21.146130,3.792410,0,0,0,2281,32.2,-24.17,0.12,0.8,1.57,106.72801894
NGC0522,21.191061,9.994623,0,0,0,2725,38.7,-23.53,0.37,4.1,1.37,88.8109032337
NGC0532,21.322283,9.264087,0,0,0,2361,33.7,-23.84,0.40,1.9,1.44,101.980364975
NGC0691,27.673841,21.759899,0,0,0,2665,38.6,-24.14,0.31,4.0,1.76,89.0408805397
NGC0772,29.831591,19.007540,0,0,0,2472,35.7,-25.59,0.31,3.0,1.90,96.2702542537
NGC0972,38.555771,29.311243,0,0,0,1543,23.7,-24.05,0.46,2.0,1.44,144.966617141
NGC1055,40.438469,0.443180,0,2,0,994,22.1,-24.58,0.14,3.1,1.83,155.448119112
NGC1056,40.701195,28.574266,0,0,0,1545,23.7,-22.80,0.65,1.0,1.13,144.966617141
NGC1087,41.604889,-0.498703,0,0,0,1517,21.2,-22.96,0.15,5.2,1.64,162.037760244
NGC1321,51.202389,-3.015633,0,0,0,2848,39.1,-22.95,0.21,0.7,0.94,87.9027498056
NGC1681,72.958572,-5.803210,0,0,0,2751,37.5,-22.49,0.21,3.0,1.32,91.6515265328
NGC2357,109.420753,23.356743,0,0,0,2275,33.4,-23.01,0.29,5.8,1.35,102.895811732
NGC2543,123.241478,36.254509,0,0,0,2471,37.1,-23.44,0.30,3.0,1.39,92.6392073879
NGC2648,130.665939,14.285502,0,0,0,2060,30.3,-23.76,0.12,1.1,1.23,113.41582291
NGC2654,132.299469,60.221119,0,0,0,1347,23.4,-23.40,0.28,2.0,1.42,146.822918539
NGC2697,133.747467,-2.987630,0,0,0,1824,26.0,-22.19,0.08,-1.0,1.22,132.155889706
NGC2742,136.889694,60.479290,0,0,0,1289,22.6,-22.98,0.17,5.3,1.65,152.013533304
NGC2770,137.390091,33.123413,0,0,0,1947,30.2,-22.84,0.10,5.3,1.57,113.791098193
NGC2776,138.060547,44.954895,0,0,0,2626,40.0,-23.88,0.06,5.2,1.53,85.9257710499
NGC2780,138.184860,34.925514,0,0,0,1979,30.8,-21.59,0.10,2.0,1.27,111.575960325
NGC2782,138.521332,40.113800,0,0,0,2543,38.6,-24.07,0.07,1.1,1.39,89.0408805397
NGC2785,138.813858,40.917648,0,0,0,2622,39.7,-23.58,0.08,9.9,1.07,86.5748107094
NGC2798,139.345642,41.999710,0,0,0,1726,27.8,-23.20,0.09,1.1,1.13,123.606661423
NGC2856,141.066696,49.249100,0,0,0,2638,40.4,-23.33,0.08,4.1,1.15,85.0753698871
NGC2882,141.650513,7.954550,0,0,0,2153,31.5,-22.62,0.22,3.0,1.36,109.098177867
NGC2894,142.376038,7.718817,0,0,0,2146,31.4,-23.39,0.27,1.0,1.15,109.445389943
NGC2906,143.026031,8.441907,0,0,0,2140,31.4,-23.39,0.20,5.9,1.36,109.445389943
NGC2964,145.726044,31.847214,0,0,0,1328,22.2,-23.38,0.08,4.0,1.50,154.748850017
NGC2967,145.513885,0.336484,0,0,0,1894,27.7,-23.37,0.43,5.2,1.56,124.052508277
NGC2968,145.800049,31.928837,0,0,0,1566,25.4,-23.60,0.08,1.9,1.35,135.274497956
NGC3003,147.150208,33.421490,0,0,0,1478,24.4,-22.46,0.06,4.3,1.65,140.812457549
NGC3023,147.469315,0.617879,0,0,0,1879,27.6,-21.76,0.27,5.5,1.50,124.501581685
NGC3067,149.587738,32.369991,0,0,0,1476,24.4,-23.04,0.06,2.1,1.39,140.812457549
NGC3079,150.491348,55.680000,0,0,0,1116,20.3,-24.28,0.05,6.7,1.62,169.210348347
NGC3107,151.093643,13.621320,0,0,0,2815,40.9,-22.74,0.17,4.0,1.20,84.0357455264
NGC3162,153.381546,22.737574,0,0,0,1300,21.7,-22.22,0.10,4.6,1.55,158.309509525
NGC3166,153.440308,3.424670,0,0,0,1345,20.9,-24.40,0.14,0.3,1.44,164.360143315
NGC3177,154.142334,21.122868,0,0,0,1302,21.7,-22.46,0.10,3.0,1.08,158.309509525
NGC3185,154.410767,21.688284,0,0,0,1217,20.4,-22.41,0.12,1.1,1.50,168.382215107
NGC3190,154.523514,21.831940,0,4,0,1271,24.6,-24.51,0.11,0.9,1.34,139.668905342
NGC3227,155.877533,19.864950,0,2,0,1157,22.4,-24.12,0.10,1.5,1.80,153.369004715
NGC3287,158.697113,21.648331,0,0,0,1306,22.2,-21.96,0.10,7.6,1.50,154.748850017
NGC3338,160.531448,13.746930,0,0,0,1302,21.9,-23.58,0.14,5.1,1.81,156.865775796
NGC3346,160.912033,14.871983,0,0,0,1260,21.3,-22.07,0.12,6.0,1.67,161.278137936
NGC3351,160.990555,11.703610,0,26,0,778,9.8,-23.31,0.12,3.1,1.86,349.580521773
NGC3368,161.690598,11.819940,1,27,0,897,10.1,-23.71,0.11,2.1,1.80,339.265249358
NGC3381,162.103439,34.711250,0,0,0,1629,27.1,-21.86,0.09,2.9,1.40,126.796594943
NGC3395,162.458817,32.982838,0,0,0,1625,27.1,-22.22,0.11,5.9,1.39,126.796594943
NGC3396,162.479691,32.990608,0,0,0,1625,27.1,-22.40,0.11,9.4,1.55,126.796594943
NGC3424,162.943008,32.900677,0,0,0,1494,25.4,-22.99,0.10,3.0,1.31,135.274497956
NGC3430,163.047562,32.950424,0,0,0,1586,26.6,-23.24,0.10,5.1,1.58,129.177767346
