NAME,RA,DEC,SBF,NED_D,VIRGO,VHel,D,M_K,A_B,Column1,log_RE
NGC3683,171.8829,56.87671,0,1,False,1716,33.3,-23.95,0.07,t.T-type,1.15
NGC3683A,172.2989,57.13218,0,0,False,2427,38.3,-23.3,0.06,t.T-type,1.51
NGC3684,171.7966,17.03031,0,0,False,1163,21.6,-22.4,0.11,t.T-type,1.47
NGC3686,171.9331,17.22406,0,0,False,1156,21.4,-23.18,0.1,t.T-type,1.66
NGC3689,172.0459,25.66104,0,0,False,2739,41.2,-23.89,0.09,t.T-type,1.37
NGC3701,172.3704,24.0935,0,0,False,2796,41.9,-22.63,0.07,t.T-type,1.37
NGC3718,173.1456,53.06783,0,0,False,993,18.8,-23.61,0.06,t.T-type,1.74
NGC3726,173.3382,47.02909,0,7,False,866,14.7,-23.07,0.07,t.T-type,1.96
NGC3729,173.4555,53.1255,0,5,False,1060,20.9,-22.88,0.05,t.T-type,1.66
NGC3755,174.139,36.4103,0,0,False,1570,27,-21.57,0.11,t.T-type,1.41
NGC3756,174.1999,54.29368,0,0,False,1318,23.6,-23.09,0.05,t.T-type,1.69
NGC3769,174.4338,47.89309,0,4,False,737,17.2,-21.99,0.1,t.T-type,1.46
NGC3780,174.8432,56.27073,0,0,False,2399,38,-23.86,0.06,t.T-type,1.63
NGC3786,174.927,31.90936,0,0,False,2678,40.8,-23.72,0.1,t.T-type,1.31
NGC3788,174.9358,31.9313,0,0,False,2699,41.1,-23.73,0.1,t.T-type,1.21
NGC3810,175.2447,11.47113,0,0,True,992,16.5,-23.15,0.19,t.T-type,1.59
NGC3813,175.3277,36.5467,0,0,False,1465,25.7,-23.2,0.08,t.T-type,1.43
NGC3877,176.5324,47.4945,0,0,False,895,16.8,-23.39,0.1,t.T-type,1.64
NGC3893,177.1592,48.71079,0,5,False,967,20.2,-23.64,0.09,t.T-type,1.69
NGC3898,177.314,56.08435,0,0,False,1176,21.7,-24.03,0.09,t.T-type,1.5
NGC3900,177.2893,27.02208,0,0,False,1798,29.8,-23.68,0.14,t.T-type,1.51
NGC3912,177.5185,26.479,0,0,False,1779,29.6,-22.41,0.09,t.T-type,1.28
NGC3917,177.6895,51.82421,0,4,False,965,16.4,-22.21,0.09,t.T-type,1.73
NGC3938,178.2061,44.12073,0,0,False,809,14.5,-23,0.09,t.T-type,1.86
NGC3949,178.424,47.85878,0,5,False,800,18.9,-22.79,0.09,t.T-type,1.52
NGC3953,178.4543,52.32654,0,7,False,1052,17.8,-24.22,0.13,t.T-type,1.89
NGC3972,178.938,55.32067,0,4,False,852,22,-22.08,0.06,t.T-type,1.5
NGC3982,179.1174,55.12536,0,23,False,1109,21.3,-22.8,0.06,t.T-type,1.43
NGC3992,179.3999,53.37452,0,5,False,1048,20.7,-24.65,0.13,t.T-type,2
NGC4010,179.6583,47.26131,0,0,False,902,16.9,-21.56,0.1,t.T-type,1.45
NGC4013,179.6309,43.94702,0,0,False,831,15,-23.25,0.07,t.T-type,1.67
NGC4041,180.5507,62.13729,0,0,False,1234,22.6,-23.36,0.08,t.T-type,1.35
NGC4051,180.7904,44.53126,0,5,False,700,14.9,-23.2,0.06,t.T-type,1.91
NGC4064,181.0466,18.44345,0,0,True,913,16.5,-22.54,0.09,t.T-type,1.55
NGC4085,181.3446,50.35275,0,4,False,746,21,-22.5,0.08,t.T-type,1.34
NGC4088,181.3925,50.53903,0,6,False,757,14.4,-23.31,0.09,t.T-type,1.76
NGC4100,181.5358,49.58231,0,7,False,1074,19.6,-23.44,0.1,t.T-type,1.65
NGC4102,181.5963,52.71095,0,4,False,846,21.1,-23.91,0.09,t.T-type,1.25
NGC4123,182.0462,2.878309,0,0,True,1327,16.5,-22.3,0.09,t.T-type,1.91
NGC4138,182.3741,43.68532,1,5,False,888,13.4,-22.44,0.06,t.T-type,1.37
NGC4145,182.5063,39.88386,0,0,False,1016,19,-22.92,0.12,t.T-type,1.99
NGC4151,182.6361,39.40576,0,0,False,995,18.5,-23.96,0.12,t.T-type,1.43
NGC4157,182.7682,50.48468,0,0,False,774,14.7,-23.48,0.09,t.T-type,1.58
NGC4180,183.2627,7.038787,0,0,True,2096,16.5,-21.99,0.07,t.T-type,1.15
NGC4194,183.5399,54.52668,0,0,False,2501,39.4,-23.36,0.07,t.T-type,0.89
NGC4205,183.7316,63.78276,0,0,False,1417,25.1,-21.57,0.09,t.T-type,1.23
NGC4217,183.9621,47.09179,0,4,False,1027,18,-23.7,0.08,t.T-type,1.71
NGC4220,184.0489,47.88335,0,0,False,914,17.3,-23.07,0.08,t.T-type,1.47
NGC4224,184.1407,7.462119,0,0,False,2603,38.7,-24.34,0.1,t.T-type,1.41
NGC4235,184.2913,7.191658,0,0,False,2410,36.2,-24.41,0.08,t.T-type,1.43
NGC4245,184.4033,29.608,0,0,False,884,12.4,-22.17,0.09,t.T-type,1.44
NGC4258,184.7401,47.30372,1,31,False,448,7.1,-23.79,0.07,t.T-type,2.11
NGC4260,184.8427,6.098803,0,1,False,1958,37.7,-24.35,0.1,t.T-type,1.53
NGC4266,184.9263,5.5382,0,0,True,1536,16.5,-21.64,0.1,t.T-type,1.27
NGC4274,184.9611,29.6147,0,0,False,930,14.5,-23.78,0.1,t.T-type,1.75
NGC4275,184.9692,27.62089,0,0,False,2312,36.1,-22.6,0.09,t.T-type,1.24
NGC4276,185.0312,7.691995,0,0,False,2618,38.9,-22.27,0.13,t.T-type,1.36
NGC4289,185.2596,3.72196,0,0,False,2618,38.6,-23.05,0.09,t.T-type,1.08
NGC4293,185.3037,18.3824,0,0,True,893,16.5,-23.62,0.17,t.T-type,1.83
NGC4300,185.4228,5.384774,0,0,False,2310,34.9,-23.19,0.09,t.T-type,1.32
NGC4303,185.479,4.47359,0,0,True,1566,16.5,-24.25,0.1,t.T-type,1.9
NGC4314,185.6332,29.8953,0,0,False,963,16.2,-23.5,0.11,t.T-type,1.59
NGC4343,185.9112,6.953936,0,0,True,1014,16.5,-22.13,0.09,t.T-type,1.21
NGC4355,186.7276,-0.877642,0,0,False,2179,32.9,-22.48,0.1,t.T-type,1.17
NGC4369,186.1508,39.38298,0,0,False,1045,19.7,-22.57,0.11,t.T-type,1.36
NGC4370,186.2289,7.444566,0,0,True,782,16.5,-21.79,0.1,t.T-type,1.27
NGC4378,186.3253,4.925024,0,0,False,2559,38,-24.39,0.07,t.T-type,1.32
NGC4384,186.3,54.50613,0,0,False,2513,39.6,-22.61,0.08,t.T-type,1.31
NGC4385,186.4284,0.572589,0,0,False,2140,32.5,-22.79,0.11,t.T-type,1.33
NGC4389,186.3962,45.68467,0,4,False,718,16.4,-21.95,0.06,t.T-type,1.52
NGC4394,186.4818,18.21393,0,0,True,922,16.5,-22.94,0.13,t.T-type,1.62
NGC4430,186.8599,6.26264,0,0,True,1451,16.5,-21.74,0.08,t.T-type,1.69
NGC4437,188.1899,0.11504,0,0,False,1128,17.3,-23.88,0.1,t.T-type,1.96
NGC4457,187.2459,3.570607,0,0,True,882,16.5,-23.32,0.09,t.T-type,1.32
NGC4490,187.6515,41.64363,0,2,False,565,6.9,-21.85,0.09,t.T-type,1.77
NGC4527,188.5354,2.65381,0,14,False,1736,14.1,-23.81,0.09,t.T-type,1.68
NGC4532,188.5805,6.467703,0,0,True,2012,16.5,-21.61,0.09,t.T-type,1.41
NGC4536,188.613,2.18788,0,42,True,1808,14.9,-23.36,0.08,t.T-type,1.84
NGC4539,188.6448,18.20258,0,0,True,1397,16.5,-21.65,0.1,t.T-type,1.58
NGC4565,189.0867,25.98739,1,7,False,1230,17,-25.1,0.07,t.T-type,1.87
NGC4580,189.4517,5.368432,0,0,True,1034,16.5,-22.32,0.1,t.T-type,1.52
